job_title	job_description
Technicien en administration des contrats	"Analyser les méthodes de travail des preneurs et développer des outils de travail afin de faciliter le traitement interne.
Communiquer avec les administrateurs des régimes d’assurance afin de les sensibiliser et de les guider en matière de gestion administrative d’assurance.
Effectuer les opérations techniques ou complexes reliées à la mise en place des nouveaux groupes, aux renouvellements de groupes, aux mouvements des adhérents, à l’adhésion, à la facturation et à l’encaissement.
S’assurer que les besoins en matière de gestion administrative des administrateurs des régimes d’assurance soient bien définis, en collaboration avec la direction de l’actuariat et les directions des ventes.
Maintenir à jour l’intranet et l’extranet de la direction.
Fournir un support technique aux chefs d’équipe.
Fournir un support technique aux différentes équipes impliquées dans la gestion des groupes.
Maîtriser les systèmes de paie des clients.
Rédiger les procédures de travail.
Représenter la Société auprès des tribunaux administratifs et judiciaires.
Préparer et fournir les rapports d’assurance qualité et les remettre à l’équipe de gestion de la direction.
Fournir ou demander, par téléphone, entrevue ou correspondance des informations relatives aux activités de la direction (fournisseurs, clients externes, etc.)
Participer, avec la direction principale – Développement et évolution des systèmes ainsi que les analystes, à la réalisation des essais de systèmes interactifs.
Participer aux travaux collectifs organisés par la direction.
Exécuter toute autre tâche ou fonction sur demande.
Produire une solution efficace basée sur une bonne cueillette d'information suivie d'une analyse rigoureuse et logique.
Écouter attentivement son interlocuteur, faire ressortir les éléments essentiels et en valider la compréhension.
Démontrer de la flexibilité à se libérer de règles, de façons de faire et d'attitudes personnelles qui ne sont pas en harmonie avec les exigences de la situation et en adopter de nouvelles.
Entrer en contact et transiger efficacement avec les gens en ayant une communication ouverte et honnête tout en respectant les différences d'opinions.
Rechercher sans cesse la qualité et l'excellence dans ses méthodes de travail, dans le service fourni et le produit à vendre.
Discerner et percevoir les signes avant-coureurs des changements à venir.
Poser les gestes adéquats qui produiront les résultats attendus au meilleur coût.
Pouvoir travailler sans surveillance, par soi-même, sans dépendre des autres, ni attendre des directives pour exécuter des projets ou des activités.
Démontrer par des gestes concrets son engagement réel à réaliser ses idées, ses projets et ses objectifs.
 Tenir des propos concrets et proposer des solutions pratiques et pragmatiques.
Déterminer l'objectif du message à transmettre, utiliser le langage approprié et le rédiger avec clarté et précision.
Communiquer et véhiculer des idées et des projets de changements et en assurer l'implantation."
Préposé de service aux administrateurs	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives aux activités de la direction principale – Gestion des contrats.
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>.
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance.
Communiquer avec les autres directions de l'assurance collective, selon une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service aux administrateurs.
Dicter, corriger et signer des lettres.
Effectuer, occasionnellement, différents travaux dans les divers services de l'administration des contrats selon les besoins des services.
Gérer ses activités quotidiennes selon les règles établies.
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société.
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux administrateurs.
Recenser et interpréter les demandes des administrateurs afin de soumettre des suggestions d’amélioration dans la direction.
Participer aux travaux collectifs organisés par la direction.
Exercer d'autres fonctions sur demande."
Préposé de service aux administrateurs – Bilingue	"Fournir ou demander, par téléphone, entrevue ou correspondance, des informations relatives aux activités de la direction principale – Gestion des contrats.
Offrir, par écrit ou par téléphone, des services ou produits du <anon_company>.
Effectuer les recherches nécessaires pour donner suite aux informations demandées par téléphone, entrevue ou correspondance.
Communiquer avec les autres directions de l'assurance collective, selon une procédure établie pour obtenir les renseignements permettant de répondre à la demande de service aux administrateurs.
Dicter, corriger et signer des lettres.
Effectuer, occasionnellement, différents travaux dans les divers services de l'administration des contrats selon les besoins des services.
Gérer ses activités quotidiennes selon les règles établies.
Effectuer occasionnellement des sondages téléphoniques selon les besoins de la Société.
Participer régulièrement à une formation continue pour le perfectionnement des connaissances à maîtriser dans l'exécution des tâches quotidiennes et la transmission des informations aux administrateurs.
Recenser et interpréter les demandes des administrateurs afin de soumettre des suggestions d’amélioration dans la direction.
Participer aux travaux collectifs organisés par la direction.
Exercer d'autres fonctions sur demande."
Technicien en administration des contrats	"Analyser les méthodes de travail des preneurs et développer des outils de travail afin de faciliter le traitement interne.
Communiquer avec les administrateurs des régimes d’assurance afin de les sensibiliser et de les guider en matière de gestion administrative d’assurance.
Effectuer les opérations techniques ou complexes reliées à la mise en place des nouveaux groupes, aux renouvellements de groupes, aux mouvements des adhérents, à l’adhésion, à la facturation et à l’encaissement.
S’assurer que les besoins en matière de gestion administrative des administrateurs des régimes d’assurance soient bien définis, en collaboration avec la direction de l’actuariat et les directions des ventes.
Maintenir à jour l’intranet et l’extranet de la direction.
Fournir un support technique au directeur adjoint.
Fournir un support technique aux différentes équipes impliquées dans la gestion des groupes.
Maîtriser les systèmes de paie des clients.
Rédiger les procédures de travail.
Représenter la Société auprès des tribunaux administratifs et judiciaires.
Préparer et fournir les rapports d’assurance qualité et les remettre à l’équipe de gestion de la direction.
Fournir ou demander, par téléphone, entrevue ou correspondance des informations relatives aux activités de la direction (fournisseurs, clients externes, etc.).
Participer, avec la Direction principale – Développement et évolution des systèmes ainsi que les analystes, à la réalisation des essais de systèmes interactifs.
Participer aux travaux collectifs organisés par la direction.
Exécuter toute autre tâche ou fonction sur demande. Produire une solution efficace basée sur une bonne cueillette d'information suivie d'une analyse rigoureuse et logique.
Écouter attentivement son interlocuteur, faire ressortir les éléments essentiels et en valider la compréhension.
Démontrer de la flexibilité à se libérer de règles, de façons de faire et d'attitudes personnelles qui ne sont pas en harmonie avec les exigences de la situation et en adopter de nouvelles.
Entrer en contact et transiger efficacement avec les gens en ayant une communication ouverte et honnête tout en respectant les différences d'opinions.
Rechercher sans cesse la qualité et l'excellence dans ses méthodes de travail, dans le service fourni et le produit à vendre.
Discerner et percevoir les signes avant-coureurs des changements à venir.
Poser les gestes adéquats qui produiront les résultats attendus au meilleur coût.
Pouvoir travailler sans surveillance, par soi-même, sans dépendre des autres, ni attendre des directives pour exécuter des projets ou des activités.
Démontrer par des gestes concrets son engagement réel à réaliser ses idées, ses projets et ses objectifs.
Tenir des propos concrets et proposer des solutions pratiques et pragmatiques.
Déterminer l'objectif du message à transmettre, utiliser le langage approprié et le rédiger avec clarté et précision.
Communiquer et véhiculer des idées et des projets de changements et en assurer l'implantation."
Agent de soutien administratif	"Préparer et mettre à jour les devis techniques et les bons de production des travaux à compléter.
Assurer les suivis administratifs lors de la coordination des dossiers de production entre les services et le Centre de reprographie.
Préparer les demandes de soumission et les commandes d’achat des travaux produits par des fournisseurs externes. 
Effectuer les mises à jour dans le système informatique, générer des rapports et effectuer la saisie de données.
Assurer le service à la clientèle interne.
Participer aux travaux collectifs organisés sous la supervision du service.
Exercer d’autres fonctions sur demande."
Préposé à l’administration des contrats	"Planifier et coordonner en équipe les activités inhérentes à une saine gestion des dossiers des clients en respectant les normes de qualité et de quantité.
Collaborer avec les autres dans le but d’atteindre des objectifs communs.
Aborder un problème dans son ensemble afin d'en déterminer avec précision son origine, les causes et d'identifier les solutions pertinentes.
Adhérer à la vision de l'entreprise, à sa mission, à ses valeurs corporatives et aux objectifs à atteindre.
Effectuer des adhésions et des changements de protections, d'adresses, de bénéficiaires et autres opérations de mise à jour des dossiers des adhérents; effectuer des terminaisons de groupes ou d'adhérents.
Préparer, vérifier et contrôler l'inscription des nouveaux groupes et effectuer les modifications demandées lors des transferts ou renouvellements de groupes.
Vérifier et balancer les encaissements relatifs aux primes d’assurance; s’assurer que les changements indiqués par les responsables de groupes sont conformes aux contrats; calculer les taux de primes et vérifier qu’ils ont été appliqués correctement; enregistrer et modifier des comptes à recevoir; effectuer des encaissements et des retraits; préparer des factures d'ajustement ou des demandes de remboursement.
Effectuer les recherches nécessaires pour donner suite au courrier quotidien.
Fournir ou demander, par téléphone ou correspondance, des informations relatives aux activités du service.
Analyser et corriger certains cas rejetés lors des traitements informatiques en référence avec le fichier des assurés, le fichier des groupes et le fichier de revenu de primes.
Utiliser l’intranet et l’extranet du service, les logiciels de la suite Microsoft (Excel, Word, Outlook), <anon_misc>, <anon_misc>, les logiciels de gestion des tâches et de gestion numérique des dossiers.
Utiliser des systèmes externes (par exemple <anon_misc> et <anon_misc>) afin de mettre à jour les informations relatives aux cartes d’assurance pour le paiement de prestations pré-approuvé chez un fournisseur de service; vérifier et corriger les cas rejetés lors des traitements informatiques et régler les cas soumis par le service à la clientèle suite à une demande des adhérents.
Participer aux travaux collectifs organisés sous la supervision du service.
Exercer d'autres fonctions sur demande."
Technicien en administration des contrats	"1.	Analyser les méthodes de travail des preneurs et développer des outils de travail afin de faciliter le traitement interne.

2.	Communiquer avec les administrateurs des régimes d’assurance afin de les sensibiliser et de les guider en matière de gestion administrative d’assurance.
Effectuer les opérations techniques ou complexes reliées à la mise en place des nouveaux groupes, aux renouvellements de groupes, aux mouvements des adhérents, à l’adhésion, à la facturation et à l’encaissement.
S’assurer que les besoins en matière de gestion administrative des administrateurs des régimes d’assurance soient bien définis, en collaboration avec la direction de l’actuariat et les directions des ventes.
Maintenir à jour l’intranet et l’extranet de la direction.
Fournir un support technique à la directrice adjointe.
Fournir un support technique aux différentes équipes impliquées dans la gestion des groupes.
Maîtriser les systèmes de paie des clients.
Rédiger les procédures de travail.
Représenter la Société auprès des tribunaux administratifs et judiciaires.
Préparer et fournir les rapports d’assurance qualité et les remettre à l’équipe de gestion de la direction.
Fournir ou demander, par téléphone, entrevue ou correspondance des informations relatives aux activités de la direction (fournisseurs, clients externes, etc.)
Participer, avec la Direction principale – Développement et évolution des systèmes ainsi que les analystes, à la réalisation des essais de systèmes interactifs.
Participer aux travaux collectifs organisés par la direction.
Exécuter toute autre tâche ou fonction sur demande.
Produire une solution efficace basée sur une bonne cueillette d'information suivie d'une analyse rigoureuse et logique.
Écouter attentivement son interlocuteur, faire ressortir les éléments essentiels et en valider la compréhension.
Démontrer de la flexibilité à se libérer de règles, de façons de faire et d'attitudes personnelles qui ne sont pas en harmonie avec les exigences de la situation et en adopter de nouvelles.
Entrer en contact et transiger efficacement avec les gens en ayant une communication ouverte et honnête tout en respectant les différences d'opinions.
Rechercher sans cesse la qualité et l'excellence dans ses méthodes de travail, dans le service fourni et le produit à vendre.
Discerner et percevoir les signes avant-coureurs des changements à venir.
Poser les gestes adéquats qui produiront les résultats attendus au meilleur coût.
Pouvoir travailler sans surveillance, par soi-même, sans dépendre des autres, ni attendre des directives pour exécuter des projets ou des activités.
Démontrer par des gestes concrets son engagement réel à réaliser ses idées, ses projets et ses objectifs.
Tenir des propos concrets et proposer des solutions pratiques et pragmatiques.
Déterminer l'objectif du message à transmettre, utiliser le langage approprié et le rédiger avec clarté et précision.
Communiquer et véhiculer des idées et des projets de changements et en assurer l'implantation."
Préposé à l’administration des contrats	"Planifier et coordonner en équipe les activités inhérentes à une saine gestion des dossiers des clients en respectant les normes de qualité et de quantité.
Collaborer avec les autres dans le but d’atteindre des objectifs communs.
Aborder un problème dans son ensemble afin d'en déterminer avec précision son origine, les causes et d'identifier les solutions pertinentes.
Adhérer à la vision de l'entreprise, à sa mission, à ses valeurs corporatives et aux objectifs à atteindre.
Effectuer des adhésions et des changements de protections, d'adresses, de bénéficiaires et autres opérations de mise à jour du dossier des adhérents; effectuer des terminaisons de groupes ou d'adhérents.
Préparer, vérifier et contrôler l'inscription des nouveaux groupes et effectuer les modifications demandées lors des transferts ou renouvellements de groupes.
Vérifier et balancer les encaissements relatifs aux primes d’assurance; s’assurer que les changements indiqués par les responsables de groupes sont conformes aux contrats; calculer les taux de primes et vérifier qu’ils ont été appliqués correctement; enregistrer et modifier des comptes à recevoir; effectuer des encaissements et des retraits; préparer des factures d'ajustement ou des demandes de remboursement.
Effectuer les recherches nécessaires pour donner suite au courrier quotidien.
Fournir ou demander, par téléphone ou correspondance, des informations relatives aux activités du service.
Analyser et corriger certains cas rejetés lors des traitements informatiques en référence avec le fichier des assurés, le fichier des groupes et le fichier de revenu de prime.
Utiliser l’intranet et l’extranet du service, les logiciels de la suite Microsoft (Excel, Word, Outlook), <anon_misc>, <anon_misc>, les logiciels de gestion des tâches et de gestion numérique des dossiers.
Utiliser des systèmes externes (par exemple <anon_misc> et <anon_misc>) afin de mettre à jour les informations relatives aux cartes d’assurance pour le paiement de prestations préapprouvé chez un fournisseur de service; vérifier et corriger les cas rejetés lors des traitements informatiques et régler les cas soumis par le service à la clientèle à la suite d’une demande des adhérents.
Participer aux travaux collectifs organisés sous la supervision du service.
Exercer d'autres fonctions sur demande."
Agent de soutien administratif	"Recevoir les communications téléphoniques et répondre aux questions d’ordre général de la clientèle. Au besoin, transmettre les appels aux agents concernés.
Recevoir les demandes de recherche de coordonnées de clients et des retours de courrier et les traiter selon les procédures établies.
Effectuer le suivi nécessaire auprès des adhérents, employeurs et TPA lorsqu’il y a des documents ou des informations manquantes aux dossiers ou documents.
Effectuer le suivi des dossiers d’exonération en validant certaines informations au système <anon_misc>.
Effectuer le paiement des frais de services.
Effectuer différentes tâches administratives en lien avec le traitement des dossiers d’invalidité.
Faire l’inscription des dépôts directs dans le système <anon_misc>.
Faire des suivis auprès des fournisseurs afin de valider si certains services ont été rendus par eux.
Participer aux travaux collectifs organisés par la direction.
Exercer d'autres fonctions sur demande."
Préposé à l’administration des contrats	"Planifier et coordonner en équipe les activités inhérentes à une saine gestion des dossiers des clients en respectant les normes de qualité et de quantité.
Collaborer avec les autres dans le but d’atteindre des objectifs communs.
Aborder un problème dans son ensemble afin d'en déterminer avec précision son origine, les causes et d'identifier les solutions pertinentes.
Adhérer à la vision de l'entreprise, à sa mission, à ses valeurs corporatives et aux objectifs à atteindre.
Effectuer des adhésions et des changements de protections, d'adresses, de bénéficiaires et autres opérations de mise à jour du dossier des adhérents; effectuer des terminaisons de groupes ou d'adhérents.
Préparer, vérifier et contrôler l'inscription des nouveaux groupes et effectuer les modifications demandées lors des transferts ou renouvellements de groupes.
Vérifier et balancer les encaissements relatifs aux primes d’assurance; s’assurer que les changements indiqués par les responsables de groupes sont conformes aux contrats; calculer les taux de primes et vérifier qu’ils ont été appliqués correctement; enregistrer et modifier des comptes à recevoir; effectuer des encaissements et des retraits; préparer des factures d'ajustement ou des demandes de remboursement.
Effectuer les recherches nécessaires pour donner suite au courrier quotidien.
Fournir ou demander, par téléphone ou correspondance, des informations relatives aux activités du service.
Analyser et corriger certains cas rejetés lors des traitements informatiques en référence avec le fichier des assurés, le fichier des groupes et le fichier de revenu de prime.
Utiliser l’intranet et l’extranet du service, les logiciels de la suite Microsoft (Excel, Word, Outlook), <anon_misc>, <anon_misc>, les logiciels de gestion des tâches et de gestion numérique des dossiers.
Utiliser des systèmes externes (par exemple <anon_misc> et <anon_misc>) afin de mettre à jour les informations relatives aux cartes d’assurance pour le paiement de prestations préapprouvé chez un fournisseur de service; vérifier et corriger les cas rejetés lors des traitements informatiques et régler les cas soumis par le service à la clientèle à la suite d’une demande des adhérents.
Participer aux travaux collectifs organisés sous la supervision du service.
Exercer d'autres fonctions sur demande."
