occupation	href	task
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Prepare detailed reports on audit findings.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Supervise auditing of establishments, and determine scope of investigation required.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Confer with company officials about financial and regulatory matters.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Prepare adjusting journal entries.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Review accounts for discrepancies and reconcile differences.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Establish tables of accounts and assign entries to proper accounts.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Examine inventory to verify journal and ledger entries.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Report to management regarding the finances of establishment.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.
Accountants and Auditors	https://www.onetonline.org/link/summary/13-2011.00	Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.
